Ano Modelo,Cor,Código FIPE,Grupo,Modelo,Montadora,Pátio de Veículos,Situação,Unidade de Operação,Valor FIPE,Idade,Categoria
2023,BRANCA,001461-3,KAPÔ PRÓPRIO,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,,LOCADO,KAPÔ,53252,3,AUTOMOVEL
2020,PRATA,001461-3,KAPÔ PRÓPRIO,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,,LOCADO,KAPÔ,45157,6,AUTOMOVEL
2019,PRATA,025249-2,KM LIVRE,SANDERO GT LINE FLEX 1.6 16V 5P,OUTRAS,KAPÔ SEDE,DISPONÍVEL,KAPÔ,54256,7,AUTOMOVEL
2018,PRATA,001481-8,KAPÔ PRÓPRIO,GRAND SIENA ATTRACTIVE 1.0 FLEX 8V 4P,FIAT,,LOCADO,KAPÔ,42369,8,AUTOMOVEL
2017,BRANCA,004473-3,KAPÔ PRÓPRIO,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,OUTRAS,,LOCADO,KAPÔ,44690,9,AUTOMOVEL
2023,PRATA,024264-0,KM LIVRE,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,PRATA,024264-0,KAPÔ GOLD,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,PRATA,024264-0,KM FLEXÍVEL,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,PRATA,024264-0,KM LIVRE,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,PRATA,024264-0,KM LIVRE,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,PRATA,024264-0,KAPÔ GOLD - 3 MESES,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,PRATA,024264-0,KAPÔ GOLD - 3 MESES,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,PRATA,024264-0,KM LIVRE,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,PRATA,024264-0,KM LIVRE,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,PRATA,024264-0,KAPÔ PRÓPRIO,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,PRETA,024264-0,KM LIVRE,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,PRETA,024264-0,KAPÔ GOLD - 3 MESES,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,PRATA,024264-0,KAPÔ GOLD - 3 MESES,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,PRATA,024264-0,KAPÔ PRÓPRIO,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,PRETA,024264-0,KAPÔ PRÓPRIO,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,PRATA,024264-0,KM LIVRE,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,PRETA,024264-0,KM LIVRE,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,PRETA,024264-0,KM LIVRE,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
2023,PRETA,024264-0,KM LIVRE,208 LIKE 1.0 FLEX 6V 5P MEC.,PEUGEOT,KAPÔ SEDE,DISPONÍVEL,KAPÔ,62374,3,AUTOMOVEL
